sceneName,startTime,stopTime,platform,beamModeType,flightDirection,pathNumber,frameNumber,orbit,polarization,processingLevel,url
S1A_IW_SLC__1SDV_20180108T232746_20180108T232813_020070_02234C_DEA1,2018-01-08T23:27:46Z,2018-01-08T23:28:13Z,Sentinel-1A,IW,ASCENDING,48,79,20070,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180108T232746_20180108T232813_020070_02234C_DEA1.zip
S1A_IW_SLC__1SDV_20180120T232746_20180120T232813_020245_0228DA_00E8,2018-01-20T23:27:46Z,2018-01-20T23:28:13Z,Sentinel-1A,IW,ASCENDING,48,79,20245,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180120T232746_20180120T232813_020245_0228DA_00E8.zip
S1A_IW_SLC__1SDV_20180201T232746_20180201T232812_020420_022E6E_06D9,2018-02-01T23:27:46Z,2018-02-01T23:28:12Z,Sentinel-1A,IW,ASCENDING,48,79,20420,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180201T232746_20180201T232812_020420_022E6E_06D9.zip
S1A_IW_SLC__1SDV_20180213T232745_20180213T232812_020595_02340A_3D18,2018-02-13T23:27:45Z,2018-02-13T23:28:12Z,Sentinel-1A,IW,ASCENDING,48,79,20595,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180213T232745_20180213T232812_020595_02340A_3D18.zip
S1A_IW_SLC__1SDV_20180225T232745_20180225T232812_020770_0239A0_79A6,2018-02-25T23:27:45Z,2018-02-25T23:28:12Z,Sentinel-1A,IW,ASCENDING,48,79,20770,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180225T232745_20180225T232812_020770_0239A0_79A6.zip
S1A_IW_SLC__1SDV_20180309T232745_20180309T232812_020945_023F23_5A4D,2018-03-09T23:27:45Z,2018-03-09T23:28:12Z,Sentinel-1A,IW,ASCENDING,48,79,20945,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180309T232745_20180309T232812_020945_023F23_5A4D.zip
S1A_IW_SLC__1SDV_20180321T232745_20180321T232812_021120_0244B5_C58B,2018-03-21T23:27:45Z,2018-03-21T23:28:12Z,Sentinel-1A,IW,ASCENDING,48,79,21120,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180321T232745_20180321T232812_021120_0244B5_C58B.zip
S1A_IW_SLC__1SDV_20180402T232746_20180402T232813_021295_024A3C_2A94,2018-04-02T23:27:46Z,2018-04-02T23:28:13Z,Sentinel-1A,IW,ASCENDING,48,79,21295,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180402T232746_20180402T232813_021295_024A3C_2A94.zip
S1A_IW_SLC__1SDV_20180414T232746_20180414T232813_021470_024FAD_8C5F,2018-04-14T23:27:46Z,2018-04-14T23:28:13Z,Sentinel-1A,IW,ASCENDING,48,79,21470,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180414T232746_20180414T232813_021470_024FAD_8C5F.zip
S1A_IW_SLC__1SDV_20180426T232747_20180426T232814_021645_025521_8D33,2018-04-26T23:27:47Z,2018-04-26T23:28:14Z,Sentinel-1A,IW,ASCENDING,48,79,21645,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180426T232747_20180426T232814_021645_025521_8D33.zip
S1A_IW_SLC__1SDV_20180508T232747_20180508T232814_021820_025AB0_3032,2018-05-08T23:27:47Z,2018-05-08T23:28:14Z,Sentinel-1A,IW,ASCENDING,48,79,21820,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180508T232747_20180508T232814_021820_025AB0_3032.zip
S1A_IW_SLC__1SDV_20180520T232748_20180520T232815_021995_026044_E046,2018-05-20T23:27:48Z,2018-05-20T23:28:15Z,Sentinel-1A,IW,ASCENDING,48,79,21995,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180520T232748_20180520T232815_021995_026044_E046.zip
S1A_IW_SLC__1SDV_20180613T232750_20180613T232817_022345_026B4C_2DDA,2018-06-13T23:27:50Z,2018-06-13T23:28:17Z,Sentinel-1A,IW,ASCENDING,48,79,22345,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180613T232750_20180613T232817_022345_026B4C_2DDA.zip
S1A_IW_SLC__1SDV_20180625T232750_20180625T232817_022520_027070_1852,2018-06-25T23:27:50Z,2018-06-25T23:28:17Z,Sentinel-1A,IW,ASCENDING,48,79,22520,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180625T232750_20180625T232817_022520_027070_1852.zip
S1A_IW_SLC__1SDV_20180707T232751_20180707T232818_022695_027589_C3C5,2018-07-07T23:27:51Z,2018-07-07T23:28:18Z,Sentinel-1A,IW,ASCENDING,48,79,22695,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180707T232751_20180707T232818_022695_027589_C3C5.zip
S1A_IW_SLC__1SDV_20180719T232752_20180719T232819_022870_027AE6_DB8E,2018-07-19T23:27:52Z,2018-07-19T23:28:19Z,Sentinel-1A,IW,ASCENDING,48,79,22870,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180719T232752_20180719T232819_022870_027AE6_DB8E.zip
S1A_IW_SLC__1SDV_20180731T232752_20180731T232819_023045_02806F_5281,2018-07-31T23:27:52Z,2018-07-31T23:28:19Z,Sentinel-1A,IW,ASCENDING,48,79,23045,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180731T232752_20180731T232819_023045_02806F_5281.zip
S1A_IW_SLC__1SDV_20180824T232754_20180824T232821_023395_028BA7_5FAE,2018-08-24T23:27:54Z,2018-08-24T23:28:21Z,Sentinel-1A,IW,ASCENDING,48,79,23395,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180824T232754_20180824T232821_023395_028BA7_5FAE.zip
S1A_IW_SLC__1SDV_20180905T232754_20180905T232821_023570_02913D_B46F,2018-09-05T23:27:54Z,2018-09-05T23:28:21Z,Sentinel-1A,IW,ASCENDING,48,79,23570,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180905T232754_20180905T232821_023570_02913D_B46F.zip
S1A_IW_SLC__1SDV_20180917T232755_20180917T232822_023745_0296D5_DEF5,2018-09-17T23:27:55Z,2018-09-17T23:28:22Z,Sentinel-1A,IW,ASCENDING,48,79,23745,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180917T232755_20180917T232822_023745_0296D5_DEF5.zip
S1A_IW_SLC__1SDV_20180929T232755_20180929T232822_023920_029C84_163B,2018-09-29T23:27:55Z,2018-09-29T23:28:22Z,Sentinel-1A,IW,ASCENDING,48,79,23920,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180929T232755_20180929T232822_023920_029C84_163B.zip
S1A_IW_SLC__1SDV_20181011T232755_20181011T232823_024095_02A244_A6ED,2018-10-11T23:27:55Z,2018-10-11T23:28:23Z,Sentinel-1A,IW,ASCENDING,48,79,24095,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20181011T232755_20181011T232823_024095_02A244_A6ED.zip
S1A_IW_SLC__1SDV_20181023T232755_20181023T232822_024270_02A7F3_9A3B,2018-10-23T23:27:55Z,2018-10-23T23:28:22Z,Sentinel-1A,IW,ASCENDING,48,79,24270,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20181023T232755_20181023T232822_024270_02A7F3_9A3B.zip
S1A_IW_SLC__1SDV_20181104T232755_20181104T232822_024445_02ADE1_5657,2018-11-04T23:27:55Z,2018-11-04T23:28:22Z,Sentinel-1A,IW,ASCENDING,48,79,24445,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20181104T232755_20181104T232822_024445_02ADE1_5657.zip
S1A_IW_SLC__1SDV_20181116T232755_20181116T232822_024620_02B448_0611,2018-11-16T23:27:55Z,2018-11-16T23:28:22Z,Sentinel-1A,IW,ASCENDING,48,79,24620,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20181116T232755_20181116T232822_024620_02B448_0611.zip
